time,latitude,longitude,depth,mag,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp,reflect_latitude,reflect_longitude
20200325195607400000,55.89,160.25,186.7,5.09,-3.23e+16,3.58e+16,-3.43e+15,-4.3e+14,-3.94e+16,-1.88e+16,46.99,147.06
20200326055249000000,22.69,143.23,114.0,5.42,1.25e+17,-8.85e+16,-3.63e+16,-3.63e+16,4.51e+16,-1.13e+17,29.73,140.66
20200326064918100000,-2.98,139.02,35.0,5.16,5.61e+16,-4.71e+16,-9.07e+15,-4.03e+16,1.76e+16,8.93e+15,16.88,138.42
20200326153804100000,5.57,125.05,59.0,6.09,1.46e+18,2.53e+17,-1.71e+18,4.05e+17,5.12e+17,-8.2e+16,21.25,130.65
20200326213642200000,-2.95,139.11,38.0,5.78,3.76e+17,-2.97e+17,-7.84e+16,-3.91e+17,2.26e+17,1.34e+17,16.89,138.47
20200327064042500000,28.24,57.12,10.0,5.22,4.74e+16,-5.29e+16,5.53e+15,6.22e+16,-8.56e+15,2.56e+16,39.86,95.06
20200327143248200000,0.17,133.58,10.0,5.59,-6.9e+15,-2.33e+17,2.4e+17,2.07e+16,3.23e+16,1.86e+17,18.49,135.39
20200328154317500000,-1.71,120.18,10.0,5.84,-1.03e+17,7.43e+17,-6.4e+17,8.3e+16,8e+15,2.26e+17,17.73,127.94
20200328174816300000,-17.82,168.34,84.0,5.88,-3.27e+16,3.04e+17,-2.71e+17,-2.77e+17,-2.69e+17,6.85e+17,9.73,154.41
20200328231038500000,-7.14,124.02,590.0,5.36,-6.02e+16,-6.66e+16,1.27e+17,-2.17e+16,2.93e+16,-9.1e+16,14.11,129.87
20200329181914100000,-21.42,169.49,10.0,5.68,3.1e+17,-3.74e+16,-2.72e+17,1.59e+16,-2.31e+17,1.73e+17,7.98,154.81
20200330155249100000,23.99,123.45,33.1,5.38,1.03e+17,-8.97e+16,-1.34e+16,7.35e+16,7.14e+16,-3.86e+16,30.58,130.07
20200331235231100000,44.46,-115.14,14.5,6.47,-2.32e+18,1.78e+18,5.35e+17,1.12e+18,1.15e+18,-5.97e+18,55.25,-173.17
20200801170902100000,7.3,124.14,485.4,6.38,-3.46e+18,-6.38e+17,4.1e+18,-1.37e+18,-2.3e+18,-6.85e+17,21.71,129.97
20200801190849700000,-3.19,148.75,10.0,5.73,-4.97e+16,3.59e+17,-3.09e+17,7.88e+16,6.14e+16,3.55e+17,16.87,143.82
20200801192205200000,-3.19,148.65,10.0,6.06,-8.2e+16,1.09e+18,-1.01e+18,1.53e+17,9.1e+16,1.09e+18,16.87,143.76
20200801194549300000,-22.81,-175.88,20.3,5.65,-1.5e+17,2.03e+17,-5.26e+16,6.04e+16,7.32e+16,-3.27e+17,7.58,162.63
20200802030133900000,-20.82,173.47,10.0,5.74,-9.48e+16,-1.04e+17,1.98e+17,9.1e+15,3.64e+16,-4.86e+17,8.38,157.0
20200802092957500000,-3.1,148.92,10.0,5.9,-9.3e+16,5.99e+17,-5.06e+17,2.2e+16,5.7e+16,7e+17,16.92,143.91
20200802141547800000,-5.11,145.39,121.6,5.51,-5.96e+16,-1.21e+17,1.81e+17,-1.43e+17,-3.46e+16,9.26e+16,15.75,141.97
20200803011816700000,-17.33,-174.25,92.4,5.28,-5.2e+15,4.79e+16,-4.27e+16,7.09e+16,3.04e+16,-5.51e+16,10.53,164.02
20200803083110300000,17.11,147.35,10.0,5.54,1.99e+17,-1.15e+16,-1.87e+17,3.25e+16,1.58e+17,-3.28e+16,27.03,142.94
